name,password,instrumentNeeded
Bob,psswrd1,drummer
Kat,psswrd2,leadGuitarist
Phil,psswrd3,leadSinger
Logan,psswrd4,pianist
Gabe,psswrd5,backupSinger
Paul,psswrd6,bassist
James,psswrd7,tambourine
Jeff,psswrd8,backupGuitarist
Mike,psswrd9,leadSinger
Eric,psswrd0,cowBellPlayer
Tom,psswrd10,pianist
Jessica,psswrd11,drummer
Erica,psswrd12,backupGuitarist
Jake,psswrd13,bassist
Will,psswrd14,leadGuitarist
Frank,psswrd15,bassist
Damien,psswrd16,cowBellPlayer
Archer,psswrd17,drummer
Malory,psswrd18,backupSinger
Lana,psswrd19,pianist
Saul,psswrd20,leadSinger
Amanda,psswrd21,tambourine
Dan,psswrd22,leadGuitarist
John,psswrd23,leadSinger
Jon,psswrd24,bassist
Fred,psswrd25,drummer
